Player,Season,Team,Type,Minutes,POS,Age,LEBRON,O-LEBRON,D-LEBRON,WAR,BOX-LEBRON,BOX-O-LEBRON,BOX-D-LEBRON
Daishen Nix,2022-23,HOU,Secondary Ball Handler,914,PG,21,-2.45,-1.5,-0.95,0,-2.84,-2.35,-0.49
Ish Smith,2022-23,DEN,Slasher,398,PG,34,-2.48,-2.24,-0.24,0,-2.64,-2.25,-0.38
Andrew Nembhard,2022-23,IND,Primary Ball Handler,"2,074",SG,23,-2.49,-1.58,-0.91,-0.1,-2.3,-1.31,-1
Juancho Hernangomez,2022-23,TOR,Stretch Big,614,PF,27,-2.5,-1.95,-0.55,0,-2.55,-2.62,0.07
Patty Mills,2022-23,BRK,Movement Shooter,567,PG,34,-2.5,-0.38,-2.12,0,-2.11,-0.39,-1.73
Jabari Smith Jr.,2022-23,HOU,Stationary Shooter,"2,451",PF,19,-2.52,-1.82,-0.7,-0.1,-1.47,-1.44,-0.03
Caleb Houstan,2022-23,ORL,Stationary Shooter,812,SF,20,-2.52,-1.49,-1.04,0,-2.76,-2.11,-0.65
David Duke Jr.,2022-23,BRK,Slasher,228,SG,23,-2.54,-1.82,-0.72,0,-2.45,-1.57,-0.88
Max Christie,2022-23,LAL,Stationary Shooter,512,SG,20,-2.54,-2.62,0.07,0,-2.47,-2.63,0.16
Danuel House Jr.,2022-23,PHI,Stationary Shooter,807,SF,29,-2.55,-1.41,-1.14,-0.1,-2.29,-1.74,-0.54
R.J. Hampton,2022-23,ORL/DET,Stationary Shooter,750,PG,22,-2.55,-1.25,-1.3,-0.1,-1.28,-0.97,-0.31
Jabari Walker,2022-23,POR,Athletic Finisher,619,SF,20,-2.57,-1.88,-0.7,-0.1,-2.47,-1.87,-0.6
Georges Niang,2022-23,PHI,Movement Shooter,"1,512",PF,29,-2.59,-1.25,-1.34,-0.1,-1.41,-0.54,-0.87
Corey Kispert,2022-23,WAS,Movement Shooter,"2,093",SF,24,-2.6,-0.86,-1.74,-0.2,-2.03,-0.86,-1.17
Will Barton,2022-23,WAS/TOR,Secondary Ball Handler,993,SG,32,-2.61,-1.79,-0.82,-0.1,-1.52,-0.91,-0.61
Christian Braun,2022-23,DEN,Stationary Shooter,"1,181",SG,21,-2.61,-2.14,-0.47,-0.1,-2.03,-2.01,-0.02
Zeke Nnaji,2022-23,DEN,Stretch Big,728,PF,22,-2.63,-2.13,-0.5,-0.1,-2.04,-1.61,-0.43
Bennedict Mathurin,2022-23,IND,Secondary Ball Handler,"2,222",SF,20,-2.64,-0.76,-1.87,-0.3,-2.66,-0.43,-2.23
Cam Reddish,2022-23,NYK/POR,Movement Shooter,990,SF,23,-2.73,-1.65,-1.09,-0.2,-1.65,-1.28,-0.37
Davon Reed,2022-23,DEN/LAL,Stationary Shooter,343,SG,27,-2.75,-2.68,-0.07,-0.1,-2.15,-2.13,-0.02
Furkan Korkmaz,2022-23,PHI,Secondary Ball Handler,353,SG,25,-2.76,-1.98,-0.78,-0.1,-2.88,-1.85,-1.02
MarJon Beauchamp,2022-23,MIL,Stationary Shooter,700,SF,22,-2.79,-1.65,-1.14,-0.2,-2.12,-1.57,-0.56
Vlatko Cancar,2022-23,DEN,Stretch Big,889,PF,26,-2.79,-1.98,-0.81,-0.2,-1.69,-1.47,-0.22
Trent Forrest,2022-23,ATL,Slasher,277,PG,24,-2.82,-2.49,-0.33,-0.1,-2.41,-2.31,-0.11
James Bouknight,2022-23,CHO,Secondary Ball Handler,515,SG,22,-2.82,-1.98,-0.84,-0.1,-2.48,-1.85,-0.63
David Roddy,2022-23,MEM,Stationary Shooter,"1,258",PF,22,-2.85,-1.28,-1.57,-0.3,-2.26,-1.78,-0.48
Richaun Holmes,2022-23,SAC,Roll + Cut Big,348,C,29,-2.88,-3.06,0.18,-0.1,-1.91,-2.16,0.25
Josh Christopher,2022-23,HOU,Slasher,786,SG,21,-2.89,-1.39,-1.5,-0.2,-1.87,-1.38,-0.5
Amir Coffey,2022-23,LAC,Slasher,625,SG,25,-2.97,-1.72,-1.24,-0.2,-2.84,-2.04,-0.8
Patrick Williams,2022-23,CHI,Stationary Shooter,"2,323",PF,21,-3,-3.04,0.04,-0.8,-1.08,-1.9,0.82
Reggie Bullock,2022-23,DAL,Stationary Shooter,"2,364",SF,32,-3.01,-1.51,-1.5,-0.8,-1.56,-1.25,-0.31
Bryce McGowens,2022-23,CHO,Movement Shooter,787,SG,20,-3.05,-2.43,-0.63,-0.3,-3.21,-2.42,-0.8
