,player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
0,Steven Adams,adamsst01,2023,2391,1133,-0.539148558923302,4.174472679092362,3.635324120169059,4.196019485073553,0.1861585744365747,4.382178059510127,0.4162789084115726,3.550985038062151,3.967263946473722,3.892111051822682,3.892111051822682,0.0,0.0250967973857724,3.570023674338324,3.595120471724096,0.2379053556444963
1,Nickeil Alexander-Walker,alexani01,2023,2185,1032,-0.0588653358935318,4.097519420914918,4.038654085021387,-1.212303738993489,2.272451262429867,1.060147523436378,-0.3038303313989556,3.986873711543973,3.683043380145017,3.479913652453206,2.416557418022191,1.063356234431015,-0.0875373854217921,3.351663189457166,3.264125804035375,0.4400434539367236
2,Grayson Allen,allengr01,2023,4534,2121,-0.0445991604717838,0.2383331244090803,0.1937339639372965,0.524024503421812,-0.5100395990479905,0.0139849043738215,0.0710878012439703,0.050969702469415,0.1220575037133854,3.127174324497974,2.880050069367837,0.2471242551301367,0.2693443812900002,-0.0303723564952866,0.2389720247947135,0.3817913596483166
3,Jarrett Allen,allenja01,2023,4833,2411,-1.334080445289199,1.627077730821985,0.2929972855327858,3.307167416544363,1.658584771375301,4.965752187919663,-0.4542169763121832,1.668787167403525,1.214570191091342,4.856336854243171,4.528900772407242,0.3274360818359288,-0.348734965813534,2.270492231560405,1.921757265746871,-0.5728681850467734
4,Jose Alvarado,alvarjo01,2023,2778,1310,0.0392583473452232,1.396093694805929,1.435352042151152,-0.6771845507453484,3.379530873399319,2.70234632265397,-0.1035658465671855,1.865416283725903,1.761850437158718,3.025179268538321,3.025179268538321,0.0,-0.424834786054889,1.927231590806239,1.502396804751349,0.322323360944499
5,Kyle Anderson,anderky01,2023,4359,2061,-0.0739591287842121,1.255403300580393,1.181444171796181,1.531263361383484,0.4194800406763187,1.950743402059803,0.2715341912376761,1.14860695784535,1.420141149083026,4.358710264423239,4.395997186862573,-0.0372869224393335,-0.4137670865660245,1.304951349174734,0.8911842626087102,-0.2990855260105891
6,Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.378602593709098,1.927022232524623,5.30562482623372,2.64694714825283,1.836528724263063,4.483475872515893,3.402392685939166,1.97827275362222,5.380665439561387,8.923683983445653,9.313686033964853,-0.3900020505191995,3.450266519359481,1.22337688471515,4.673643404074632,1.632325649126796
7,Desmond Bane,banede01,2023,4448,2072,2.957002426614755,-0.3050586000498567,2.651943826564898,3.633838560194918,1.506766585631306,5.140605145826224,3.271208298973276,0.0126779924477435,3.28388629142102,6.412956873079668,6.229188210124355,0.183768662955313,2.554425899420056,0.2205239883583966,2.774949887778452,0.6533559765977283
8,Harrison Barnes,barneha02,2023,6075,2858,0.5495735336665764,0.6380523846188977,1.187625918285474,0.6893225901567351,-0.5610622996816987,0.1282602904750365,0.5775188066310112,0.4425423789029022,1.020061185533913,5.52208292652767,5.439890239249526,0.0821926872781438,0.4395386570199586,0.1386586842070279,0.5781973412269864,0.166046198242073
9,Scottie Barnes,barnesc01,2023,5507,2678,-0.4147567376724784,0.3979318629741533,-0.0168248746983252,2.444975327336864,0.8109769059734777,3.255952233310342,0.1433316649177437,0.4986065393812333,0.6419382042989772,4.616106807831575,4.616106807831575,0.0,0.8389055019950283,1.387223309606465,2.226128811601493,-0.3996725629381163
10,Alec Burks,burksal01,2023,2413,1122,2.756797327844438,-0.3082417874201648,2.448555540424274,2.676956298418045,1.477685488036782,4.154641786454826,2.980922796410934,0.1003137240661578,3.081236520477091,3.362254339041147,3.362254339041147,0.0,2.425598546379746,-0.5233949253023473,1.902203621077399,0.7316111879573101
11,Kentavious Caldwell-Pope,caldwke01,2023,6336,3052,-0.3453082509389492,1.109144788679798,0.7638365377408484,4.202047740168251,-0.0720438534568054,4.130003886711445,0.5613348636192824,0.9228347750278012,1.484169638647084,6.650418372614305,5.804606518768964,0.8458118538453402,0.9722244590716148,1.043446901285209,2.015671360356824,0.8436805063894386
12,Clint Capela,capelca01,2023,4036,1881,0.1679881302601681,3.280624064414329,3.448612194674498,2.108540427022402,-2.078086001933956,0.0304544250884465,0.5585268230038815,2.378354022850389,2.93688084585427,5.445737242874942,5.031407054531996,0.4143301883429457,0.7830057989109893,2.400458465085554,3.183464263996543,-0.4530771076071739
13,Alex Caruso,carusal01,2023,3274,1575,-0.5072538009698441,5.947729417296966,5.440475616327122,1.221988717080212,5.308633047842996,6.530621764923208,-0.1428519032400534,6.133135546085906,5.990283642845853,7.039777636945359,7.039777636945359,0.0,-0.2639781018468903,6.359903117250852,6.095925015403963,0.2355657598042843
14,Nic Claxton,claxtni01,2023,4890,2388,-1.613497629996625,2.266824104541211,0.6533264745445853,4.479448870644132,2.294609831436272,6.774058702080406,-0.4405916382335329,2.416752342592789,1.976160704359257,5.708393776344238,5.569318603995202,0.1390751723490351,-0.2911563026831547,2.663769795103391,2.372613492420236,-0.7759869203329035
15,Anthony Davis,davisan02,2023,5327,2512,2.385891449956369,4.700176892257364,7.086068342213732,2.222875962262435,3.521186469031197,5.744062431293632,2.51172634940934,4.736996560887073,7.248722910296413,12.94869319574566,9.767810381996014,3.180882813749648,2.939710495139724,4.570631837231502,7.510342332371226,0.2965321410488339
16,DeMar DeRozan,derozde01,2023,5577,2682,2.580899964577754,-0.0052973093329001,2.575602655244854,0.0943113696561511,2.185858535599803,2.280169905255955,2.21673041224174,0.4253987080798974,2.642129120321637,7.377913455457,7.377913455457,0.0,1.122093040587408,0.717123728855012,1.839216769442421,-0.0060318851126592
17,Donte DiVincenzo,divindo01,2023,4626,2129,0.0019173373333468,2.51381831117514,2.515735648508487,-1.613544069308269,1.63342442620755,0.0198803568992815,-0.3324195327324463,2.463720909834297,2.131301377101851,5.344329786192386,5.267585765463395,0.0767440207289906,-0.0441163072524721,2.529956010423527,2.485839703171055,0.6893240150571008
18,Kevin Durant,duranke01,2023,4410,2138,4.484401136872549,-0.1749778532077246,4.309423283664826,4.93811369538963,1.525901831253418,6.464015526643047,4.81780652633156,0.1671298135655544,4.984936339897113,8.580182700782364,7.134923603134645,1.445259097647719,4.893580810094011,-0.3054246804145016,4.58815612967951,1.191214526524912
19,Anthony Edwards,edwaran01,2023,6418,3041,1.573518994177218,0.0870567100194313,1.660575704196649,3.216190001989275,1.063017164620488,4.279207166609763,2.019945656064814,0.2844849400259882,2.304430596090802,7.997899309873646,6.424076240464835,1.573823069408811,2.157324792325007,0.741633186980867,2.898957979305874,0.6511548151987714
20,Joel Embiid,embiijo01,2023,5286,2620,3.955242296804709,3.961925511418527,7.917167808223236,2.071151097188158,3.723739456804299,5.794890553992457,3.724874175229641,4.10109171394003,7.82596588916967,14.22467958897151,12.82346758153846,1.401212007433051,3.938348289485687,3.533212241278321,7.47156053076401,0.4630932573324834
